Timestamp,TemperatureMax,TemperatureMin,HumidityMax,HumidityMin,AirPressureMax,AirPressureMin
2022-11-10 00:00:00,33.5,27.5,82.6,75.4,1007.6,1003.2
2022-11-10 01:00:00,31.6,26.3,85.2,73.8,1012.4,1008.0
2022-11-10 02:00:00,33.9,28.7,94.6,88.5,1009.2,1007.1
2022-11-10 03:00:00,36.6,31.3,91.7,81.2,1006.4,1002.1
2022-11-10 04:00:00,31.3,24.5,84.2,73.4,1007.6,1003.0
2022-11-10 05:00:00,31.3,26.1,88.5,81.3,1011.8,1007.9
2022-11-10 06:00:00,36.7,30.7,86.1,77.1,1008.4,1004.1
2022-11-10 07:00:00,34.3,27.0,87.3,74.1,1011.0,1006.7
2022-11-10 08:00:00,30.6,24.7,85.3,78.8,1007.1,1003.5
2022-11-10 09:00:00,33.6,26.3,84.2,74.8,1009.5,1005.0
2022-11-10 10:00:00,30.6,23.4,90.1,75.8,1010.1,1005.7
2022-11-10 11:00:00,30.6,24.9,91.7,81.6,1009.1,1004.4
2022-11-10 12:00:00,32.7,25.5,93.1,80.9,1007.0,1002.2
2022-11-10 13:00:00,26.3,19.0,82.3,69.1,1009.6,1006.0
2022-11-10 14:00:00,26.8,20.6,92.3,85.3,1011.9,1009.8
2022-11-10 15:00:00,30.3,24.7,83.8,76.6,1014.6,1012.6
2022-11-10 16:00:00,29.0,22.4,86.4,73.8,1012.9,1008.1
2022-11-10 17:00:00,32.9,25.2,93.5,81.0,1006.6,1003.6
2022-11-10 18:00:00,29.3,22.4,86.8,81.2,1007.7,1004.6
2022-11-10 19:00:00,27.8,22.2,83.0,74.7,1005.8,1002.4
2022-11-10 20:00:00,36.4,29.3,82.4,73.4,1006.4,1003.6
2022-11-10 21:00:00,31.3,25.0,87.1,73.8,1007.5,1003.7
2022-11-10 22:00:00,32.2,25.4,91.4,82.2,1007.0,1002.6
2022-11-10 23:00:00,27.7,20.5,95.0,80.7,1007.1,1004.4
2022-11-11 00:00:00,30.4,23.8,91.8,76.8,1007.3,1003.1
2022-11-11 01:00:00,32.3,24.9,93.2,80.3,1008.0,1004.0
2022-11-11 02:00:00,28.5,21.4,91.2,79.6,1006.3,1002.7
2022-11-11 03:00:00,33.1,26.3,93.4,84.5,1007.8,1004.8
2022-11-11 04:00:00,30.2,24.7,81.1,75.5,1011.9,1007.3
2022-11-11 05:00:00,31.1,23.6,93.9,83.2,1007.4,1004.2
2022-11-11 06:00:00,30.2,22.4,85.9,77.3,1006.7,1003.6
2022-11-11 07:00:00,37.6,32.1,93.8,85.3,1005.7,1001.8
2022-11-11 08:00:00,32.0,25.5,81.1,69.3,1010.0,1005.2
2022-11-11 09:00:00,28.8,23.1,90.7,81.1,1013.4,1009.9
2022-11-11 10:00:00,34.5,27.2,91.0,78.5,1005.6,1001.4
2022-11-11 11:00:00,28.3,21.2,95.0,86.0,1010.4,1007.1
2022-11-11 12:00:00,32.6,27.2,91.5,85.0,1011.5,1008.8
2022-11-11 13:00:00,26.1,18.5,85.7,76.1,1010.9,1008.6
2022-11-11 14:00:00,28.0,22.5,88.4,73.8,1013.8,1011.4
2022-11-11 15:00:00,32.6,25.2,85.5,72.5,1013.7,1011.6
2022-11-11 16:00:00,34.2,27.8,82.9,75.9,1005.6,1001.9
2022-11-11 17:00:00,32.5,26.5,83.7,74.8,1008.6,1006.2
